City,Cappuccino,Cinema,Wine,Gasoline,Avg Rent,Avg Disposable Income,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating
Chiang Mai,1.05,3.53,11.4,0.82,426.24,227.95,68.64,15.89,85.91,30.55,37.5,37.78
Chicago,2.45,7.85,7.85,0.71,1634.42,2111.35,83.01,66.77,62.92,22.98,80.71,54.52
Christchurch,2.48,8.82,7.72,1.18,881.83,1460.54,83.36,47.1,83.86,22.2,76.6,51.3
Cologne,1.92,7.25,3.62,1.32,980.35,1704.96,82.18,59.18,67.88,68.41,82.82,27.08
Colombo,1.54,2.35,11.16,0.83,713.9,326.88,72.52,20.18,75,33.59,26.68,50
Copenhagen,3.66,9.15,5.72,1.4,1658.01,2001.04,82.85,49.33,85.14,30.54,75.23,32.39
Cordoba,1.95,3.92,4.25,0.93,524.8,523.02,73.76,27.56,75.24,48.76,47.68,51.56
Cork,2.13,7.08,8.52,1.36,1022.98,1633.36,83.55,47.98,64.32,18.48,76.37,35.83
Curitiba,1.54,5.2,8.05,0.87,861.59,796.57,76.15,34.97,59.03,33.59,58.67,46.27
Dallas,2.62,6.54,6.54,0.59,1405.6,2116.9,84.71,76.18,69.99,83.89,80.56,59.9
Darwin,3.36,10.08,10.08,1.04,2015.94,2435.93,79.63,49.51,75.28,6.78,78.52,32.8
Davao,0.79,1.9,3.17,0.84,554.18,158.34,69.29,17.63,69,77.98,30.66,17.71
Delhi,0.84,2.41,7.24,0.84,362.03,362.03,77.12,34.39,74.99,73.03,42.45,52.56
Detroit,1.96,5.56,7.85,0.67,632.19,1895.93,70.63,73.81,63.05,83.45,50.99,76.69
Dhaka,1.31,2.09,9.17,0.77,312.91,295.54,71.58,21.32,20.83,62.14,13.48,59.06
Doha,2.78,6.28,14.32,0.18,2221.74,2775.58,90.73,81.96,68.06,83.45,80.28,27.17
Dresden,2.13,6.82,3.84,1.33,1193.48,2088.58,84.75,82.6,78.29,16.89,90.21,15.34
Dubai,2.62,6.23,12.77,0.31,1981.57,2313.91,98.44,69.64,67.78,30.81,85.16,19.36
Dublin,2.39,8.31,8.52,1.39,1278.72,1918.09,90.45,50.13,41.12,30.54,65.27,48.31
Dusseldorf,2.13,8.31,4.47,1.28,1193.48,2301.7,83.45,72.52,75.98,8.61,88.02,15.34
Edinburgh,2.09,7.97,6.73,1.35,996.45,1992.89,83.92,58.77,60.64,13.94,75.03,30.51
Edmonton,2.55,8.29,11.16,0.69,1147.52,2199.42,85.94,67.19,78.83,22.79,89.58,31.14
Florence,1.02,6.82,4.26,1.53,1278.72,1278.72,76.63,35.31,67.11,29.44,53.73,39.58
Fortaleza,1.46,5.2,5.85,0.88,650.26,1307.54,80.17,52.28,45.46,66.32,36.68,78.65
Frankfurt,2.13,7.67,4.07,1.36,1022.98,1875.46,82.75,62.6,65.33,14.54,88.04,27.55
Gaborone,1.19,2.58,3.53,0.71,395.15,529.22,75.32,30.98,27.78,30.55,31.77,50
Galway,2.13,7.67,6.39,1.39,852.48,1875.46,83.19,58.59,52.97,52.47,77.85,40.78
Geneva,2.8,12.94,10.49,1.28,2607.95,3917.72,83.27,61.22,74.88,29.43,82.76,54.36
Glasgow,2.52,9,6,1.07,1126.75,1654.76,84.23,85,90.55,0,80,60
Gold Coast,2.69,10.08,8.06,0.98,1310.36,2687.92,82.03,56.11,82.23,30.55,81.31,43.02
Gothenburg,3.3,10.76,8.01,1.44,1001.25,2302.88,74.63,26.95,68.24,92.42,71.51,25.62
Gurgaon,0.97,3.02,6.64,0.83,398.24,470.64,77.88,37.08,77.18,27.78,42.77,65.51
Haifa,2.16,6.75,8.1,1.37,719.73,1196.51,78.84,44.03,72.69,29.86,52.08,46.59
Hamburg,1.83,9.38,3.41,1.36,1534.47,1747.59,84.66,61.13,82.41,67.78,87.18,25.52
Hamilton,1.91,7.01,8.29,0.8,605.64,1593.78,81.34,56.52,86.67,81.68,84.83,35.68
Hanoi,1.31,2.66,8.17,0.81,718.36,172.25,66.77,12.22,20.83,24.02,5.29,51.81
Helsinki,2.57,10.23,8.52,1.43,1534.47,1960.71,81.34,54.41,74.35,29.14,75.85,40.96
Hong Kong,2.78,5.89,10.1,1.52,5052.31,2210.39,86.37,50.07,67.59,14.88,59.5,16.31
Honolulu,2.62,6.54,7.85,0.74,1830.55,2204.51,81.31,58.54,57.03,30.28,79.58,44.14
Houston,2.29,6.54,6.53,0.63,1340.23,2124.75,85.24,71.96,79.44,65.21,74.08,61.72
Hyderabad,0.72,1.81,4.83,0.91,241.35,301.69,79.35,39.93,63.89,89.72,54.97,36.9
Indianapolis,2.6,5.56,5.88,0.65,817.21,2056.76,84.52,80.72,36.66,82.08,77.13,30.21
Indore,0.91,2.23,6.03,0.84,205.15,120.68,76.38,35.79,31.34,59.42,48.53,16.93
Istanbul,1.99,5.44,9.06,1.66,634.23,724.84,80.22,34.42,80.38,44.98,45.67,42.36
